"name","statistic","dm","p.value"
"aceA_b4015_st",-2.66477534128427,-0.231420053466338,0.0372855953591475
"alpA_b2624_st",-2.59430119116714,-0.314091063837314,0.040974544243199
"amn_b1982_st",2.50075233999086,0.300768027982889,0.0464808997782366
"ampE_b0111_st",3.22741963510934,0.491886566026404,0.0179686874331823
"aroA_b0908_st",-2.6281727788343,-0.677562777505308,0.0391552776749673
"arp_b4017_st",-3.09780159566518,-0.203635693987595,0.0211758093340619
"artI_b0863_st",3.91803669738052,1.11440735214105,0.00781965224654806
"artP_b0864_st",3.03766268937103,0.767133218653141,0.0228714672660835
"asd_b3433_st",2.85224988311835,0.371215322942883,0.0290956715334605
"aspC_b0928_st",-3.73505182820475,-0.557002362309087,0.00967879356954946
"atpB_b3738_st",-4.47240462758734,-0.644712240554911,0.00422655258946847
"atpD_b3732_st",-2.58770662044562,-0.694185677478369,0.0413390790459209
"atpF_b3736_st",-2.57794520925451,-0.478497937246775,0.0418850057120005
"atpG_b3733_st",-5.94520060825289,-0.598274871270332,0.00101205103480581
"atpI_b3739_st",-2.6778774179882,-0.604098316763061,0.0366396699210827
"b0836_st",2.51445251943079,1.23976163226646,0.0456278087140453
"b1170_st",-2.50483943794445,-0.238381578319025,0.0462246521983016
"b1284_st",-2.69966557343177,-0.358539128453739,0.0355918366316767
"b1297_st",2.65830187874839,0.599321554033704,0.0376092084004322
"b1396_st",-2.92452858358142,-0.327895171103938,0.0264748180310053
"b1410_st",3.29814831233745,0.225248283423964,0.0164457959363285
"b1605_st",2.75803335698771,0.392822211019487,0.0329396127462007
"b1695_st",-3.45774877028704,-0.351947110815694,0.0135043957533025
"b1722_st",-4.4776511999351,-0.516767494910351,0.00420292535971423
"b2097_st",3.38348158705029,0.270985168563824,0.0147940956099243
"b2294_st",4.29606460224044,0.611065709073255,0.00511477505319217
"b2343_st",6.27856459494116,2.12034304887277,0.000759164803892585
"b2670_st",3.15869895587288,0.242154670258868,0.0195973178632478
"b2817_st",2.87839897031371,0.39581008258401,0.0281165222970479
"b2845_st",3.21315702209907,0.476941858572401,0.0182941247030599
"b3914_st",5.9174468133865,0.76688076218697,0.00103713342180672
"clpA_b0882_st",3.15062544945588,0.906351275227284,0.0197990043266435
"clpB_b2592_st",2.59102692558226,0.962914795640719,0.0411551104934946
"cpxR_b3912_st",2.70850577027365,0.281826435628819,0.0351758692729155
"csgD_b1040_st",3.52732477618289,0.780321937347476,0.0124078749363215
"csgG_b1037_st",3.20562380133705,0.64329887276212,0.0184686119733404
"cutC_b1874_st",2.49681684559717,0.232422666091335,0.0467290602770859
"cydA_b0733_st",4.46897651979038,0.650710323858165,0.00424207141960044
"cydB_b0734_st",4.91394993467017,0.763715702132986,0.00267303236213105
"dadX_b1190_st",3.20377041642827,0.478529682700572,0.0185118192137127
"dld_b2133_st",2.60525164545891,0.474166759363749,0.0403767485490376
"dnaK_b0014_st",3.87552155553374,0.72168268335526,0.00821317150921771
"dppA_b3544_st",-2.83936781764674,-0.896530442448158,0.029591495779742
"dppB_b3543_st",-2.64762698655244,-0.388878627447403,0.0381494135165224
"dppF_b3540_st",-3.1717211950813,-0.558267600575757,0.0192767165938955
"eco_b2209_st",5.06631479413648,0.397273572716834,0.0022963197200929
"efp_b4147_st",-3.70387472243871,-0.710567697354751,0.010042169622176
"eno_b2779_st",-2.60066219551911,-0.428703241565611,0.0406261548901458
"epd_b2927_st",-3.36006078229727,-0.335546025214544,0.0152284842618885
"exbD_b3005_st",-2.97574709880252,-0.510208313159172,0.0247725554058173
"fabD_b1092_st",-2.63199641406113,-0.476001537618972,0.0389553717711785
"fimA_b4314_st",-5.01976209369166,-3.40233623053909,0.00240462291314161
"fimI_b4315_st",-4.47919959207136,-1.14963955708709,0.00419598084684171
"fruL_b0079_st",-2.96518338870592,-0.609905043435989,0.0251136942766818
"galP_b2943_st",-3.52279087819505,-0.577913457861073,0.0124762528827608
"gatY_b2096_st",-2.47423216123454,-0.597625044525794,0.0481804800482568
"gcvP_b2903_st",-2.85183556603143,-0.727480036260946,0.0291114783417191
"gdhA_b1761_st",3.01589734598094,0.620901707062053,0.0235210744449537
"glnA_b3870_st",-2.73770191701824,-1.24649176927285,0.0338386217307972
"glnK_b0450_st",-3.20245314907588,-0.462429772545962,0.0185425953518677
"gltB_b3212_st",-9.74392378974202,-3.23623362282123,6.71409789957576e-05
"gltD_b3213_st",-12.0174415460412,-3.03293957078376,2.01373461348927e-05
"glvG_b3681_st",-2.47325282425271,-0.235233959302706,0.0482444834495551
"grxB_b1064_st",7.26630398725367,0.905308796259551,0.00034558318252029
"guaB_b2508_st",-3.63409978013576,-0.458013558948986,0.010911541393965
"hdeB_b3509_st",3.00842526228542,0.950190850396895,0.02374868280349
"hdhA_b1619_st",3.6341499076913,0.727500426289982,0.0109108876104212
"hisJ_b2309_st",-2.67216206797553,-0.749396635353833,0.036919952869384
"hns_b1237_st",4.58787822699633,0.493830089192027,0.00373937740157883
"htrA_b0161_st",2.74699241893673,0.497539478197995,0.0334245968841025
"IG_10_10495_10642_rev_st",-3.00931591312653,-0.0463989172337396,0.023721427482412
"IG_1070_1689385_1697378_fwd_f_st",2.45979199160363,0.0823826154847049,0.0491333360751707
"IG_1110_1744617_1744723_fwd_st",-2.51503687931593,-0.169626464350168,0.0455917913598962
"IG_1145_1805715_1805819_fwd_st",3.55626282044041,0.368773113158688,0.0119810827336956
"IG_1189_1874879_1874911_fwd_st",-2.87584220952206,-0.276747951909515,0.0282106740475878
"IG_13_14080_14167_fwd_st",6.6768012678948,0.551444855625984,0.00054665179897833
"IG_1346_2085091_2085350_rev_st",-4.07530657946857,-0.297639032948251,0.0065365792785998
"IG_1353_2099291_2099916_rev_f_st",-3.39947720550195,-0.386051290317756,0.0145052626340678
"IG_1355_2111084_2111455_rev_st",-2.57435769209404,-0.309440482250144,0.0420875634848908
"IG_1378_2169756_2169854_rev_st",-3.95780846153815,-0.204954543813508,0.00747048376184291
"IG_1413_2238369_2238647_rev_st",-3.5888723805509,-0.307165401617301,0.0115194895622512
"IG_1583_2531401_2531783_fwd_st",-2.52751678315108,-0.22622068140687,0.0448297185579662
"IG_1586_2534364_2535361_fwd_f_st",-2.70877076483755,-0.211389105531842,0.0351634807299963
"IG_1643_2642304_2642452_rev_st",-7.22552836080496,-0.827115733412422,0.000356366436546524
"IG_1644_2642885_2643032_rev_st",-2.59337812243308,-0.4047177363354,0.0410253634655794
"IG_1667_2689182_2689675_rev_st",2.79281518607296,0.212604382712106,0.0314605034634783
"IG_1674_2705145_2705341_rev_st",-2.48958754315538,-0.218789148331958,0.0471885699498939
"IG_1743_2795050_2796111_rev_st",-3.18245717159314,-0.561510516212701,0.0190167086285219
"IG_1764_2820034_2820161_rev_st",-3.02655225227449,-0.164338567288672,0.023200599758528
"IG_1791_2865575_2865636_rev_st",4.04740554593681,0.866377325651426,0.00674590616544955
"IG_1848_2976922_2977964_rev_st",2.96308003528024,0.189055693871175,0.0251822244908161
"IG_1877_3022208_3022314_fwd_st",2.82858576046476,0.144636301146573,0.0300134883882693
"IG_1881_3030836_3031084_fwd_st",2.85616146263831,0.0985047521734845,0.0289468940123974
"IG_1949_3144277_3144464_rev_st",-2.53593506548347,-0.174388597081059,0.044323282662724
"IG_200_316394_316949_rev_st",-2.50535950854699,-0.133311659421864,0.0461921526535354
"IG_2134_3421425_3421516_rev_s_st",-2.65398470461365,-0.711516285663844,0.037826691195661
"IG_2258_3652844_3654624_fwd_st",3.12238086267025,0.0956964630421879,0.0205226096388574
"IG_2260_3653935_3654037_rev_st",4.20600175561855,1.13782650118018,0.00564810878616653
"IG_227_357915_360472_rev_st",3.78919946104644,0.122678427530449,0.0090818969434202
"IG_2283_3699464_3710720_fwd_st",2.62084331051295,0.17066547956849,0.0395415335972727
"IG_2284_3703420_3703726_rev_st",-3.86263701473995,-0.754539054652394,0.00833675237860049
"IG_231_362404_362454_rev_st",2.53208567624895,1.1502480462415,0.0445541029163317
"IG_2369_3843358_3851542_fwd_st",3.26440439971876,0.165893464532448,0.0171539344892531
"IG_2372_3850616_3852740_rev_st",-2.76284972860064,-0.117877993837011,0.0327304174963067
"IG_2412_3912829_3913180_rev_st",-2.52369648168673,-0.265379354718527,0.0450615604629481
"IG_2415_3920081_3920684_rev_st",-3.34851855337747,-0.261335641835242,0.0154477024938738
"IG_2458_3991673_3997904_rev_st",-4.21446465915322,-0.194027966533795,0.00559542382275807
"IG_2487_4032743_4033119_fwd_s_st",-2.96147227372986,-0.352919187648782,0.0252347441999867
"IG_25_28208_28373_fwd_st",-2.90830038109704,-0.162766400467679,0.0270402411993129
"IG_2577_4173136_4173251_fwd_st",-2.99718387916873,-1.07997568356003,0.0240956233085098
"IG_2655_4296946_4297142_rev_st",-3.06322887774085,-0.198511828534158,0.0221332116973224
"IG_280_434781_434857_fwd_st",-2.51624679990363,-0.487616887836243,0.0455173127102103
"IG_2817_4540202_4540682_fwd_st",-2.96879926861003,-0.905146741510142,0.0249963554974596
"IG_308_475786_475895_fwd_st",-3.10315450130368,-0.331772766826938,0.0210316486282685
"IG_336_514998_516648_rev_st",-2.82615438786502,-0.187357634533257,0.0301095407129328
"IG_375_576109_577822_rev_st",-3.37438111145481,-0.56032110392024,0.0149612431077022
"IG_4_5021_5233_fwd_st",-2.49843890028463,-0.181397654269395,0.0466266093167825
"IG_484_761963_762236_fwd_st",-2.91044846029449,-0.453154541126178,0.026964654087974
"IG_544_853989_855185_fwd_st",2.44947935883699,0.165762086830087,0.0498259653452565
"IG_562_884454_884538_rev_st",-2.99558538673478,-0.323170291286048,0.0241454021458222
"IG_58_107475_107629_fwd_st",6.49951434583112,0.491350054962155,0.000631477281333918
"IG_595_932313_932446_fwd_st",-3.51238834545587,-1.1856093995996,0.0126347172062459
"IG_727_1156798_1157091_fwd_st",-2.55748945872899,-0.635629980132173,0.0430540017920921
"IG_820_1298469_1299205_fwd_st",7.11006831923033,2.45109873838238,0.000389063083617648
"IG_821_1300838_1300922_fwd_st",23.3028990631923,3.31830512966604,4.09557658019982e-07
"IG_885_1407058_1407534_fwd_st",3.94063824924742,0.103913238180197,0.00761904581195736
"IG_933_1494656_1494879_fwd_st",2.59182650752567,0.174840167133937,0.0411109380033297
"ilvA_b3772_st",2.46856964967353,0.324175112222667,0.0485517879238886
"ilvC_b3774_st",-4.16259774861045,-1.54132403631919,0.00592721164677695
"ilvG_1_b3767_st",3.64183443336545,0.831323239735575,0.0108111744535803
"ilvH_b0078_st",-5.52992154451796,-1.11028889641639,0.0014732783172095
"ilvI_b0077_st",-7.81028220762269,-0.950476665479824,0.000232392618427751
"kbl_b3617_st",3.08929732740115,0.949601348851605,0.0214070582920865
"kdpC_b0696_st",2.79483842140467,0.302464221232164,0.0313766883019211
"lacA_b0342_st",3.27365988063648,1.0622574603591,0.0169564321489016
"lacY_b0343_st",2.91017356293871,1.03208386516024,0.0269743144892015
"LAMCG_I_w_st",-3.65261530756583,-0.154415264714354,0.0106729817060881
"leuC_b0072_st",-3.30949543722102,-0.788533509588738,0.0162149235400742
"livF_b3454_st",-3.59408282754211,-1.00406675164553,0.0114475747639096
"livG_b3455_st",-4.22067258025281,-0.96026114546151,0.00555712750855232
"livH_b3457_st",-3.98611038074185,-1.23983946928535,0.0072326130190004
"livK_b3458_st",-9.75161401062832,-2.35196513090324,6.68403826578134e-05
"livM_b3456_st",-5.15611161885092,-1.04061825683283,0.00210268217453587
"lrp_b0889_st",-10.4234297351336,-2.30369211606209,4.57002455781857e-05
"lysU_b4129_st",5.89258449085948,3.29979980444756,0.00106020741020442
"manY_b1818_st",-2.56252550463728,-0.891518933111204,0.0427630292493184
"mdh_b3236_st",4.56491755538849,0.359911939861384,0.00383097204564718
"moaB_b0782_st",4.81459741982407,0.607118375576933,0.00295632545457423
"moaC_b0783_st",4.93233650948654,0.560747858320898,0.00262404746996331
"mopB_b4142_st",3.07308472000773,0.387985127432774,0.0218555669712003
"ndk_b2518_st",-6.51520800980371,-1.06607941432189,0.000623387630569885
"nemA_b1650_st",-5.25008003290194,-0.494141909243778,0.00191964842897819
"nlpC_b1708_st",2.68185780280094,0.341239423596596,0.0364458127806975
"nmpC_b0553_st",-3.19567410331305,-0.878990354875208,0.0187018657670176
"nuoE_b2285_st",-3.22804299162705,-0.295683170122258,0.0179546092189579
"nupC_b2393_st",-5.5529036555801,-0.785607129528021,0.00144221661734158
"nusB_b0416_st",-2.9572657735907,-0.295389781220324,0.0253727172363472
"ompT_b0565_st",-4.63963976399873,-2.67317811788438,0.00354181490703232
"oppA_b1243_st",7.97448919840253,2.97550909373866,0.000207101802167028
"oppB_b1244_st",9.36080525192338,2.91274147305279,8.43055984846735e-05
"oppC_b1245_st",5.5156412519862,2.14631412017458,0.00149296285896815
"oppD_b1246_st",9.76450835998647,1.94368594247359,6.63398556956697e-05
"oppF_b1247_st",5.21202201890307,1.46292829700537,0.00199150518944323
"osmY_b4376_st",3.76334812343845,0.512519211097894,0.00936160437194672
"pepD_b0237_st",2.92285577774004,0.670302585101904,0.0265325068504739
"phoH_b1020_st",2.99744165826098,0.69498650564362,0.0240876062080654
"pntA_b1603_st",-7.73422840461545,-1.58460278693894,0.000245301390530827
"pntB_b1602_st",-5.01310306246258,-1.47033738696831,0.00242058361403936
"potA_b1126_st",-2.90642033952747,-0.60291781533973,0.0271065844113167
"ppc_b3956_st",2.90869211581198,0.72145593573312,0.0270264396974686
"ppsA_b1702_st",-2.83672769214497,-0.244948536581241,0.0296942321761692
"prfC_b4375_st",-3.72083271397653,-0.561692436304504,0.0098426771638799
"proP_b4111_st",2.72493278798471,0.901823388589783,0.0344166566022138
"proV_b2677_st",2.72544241153931,0.783588542956213,0.0343933854452397
"ptsG_b1101_st",-5.03600512911578,-1.15639430777838,0.00236618904563128
"purD_b4005_st",-2.47093642557321,-0.424604042618162,0.0483962258357494
"purH_b4006_st",-2.44923689250688,-0.633126086625829,0.0498423732746455
"pyrG_b2780_st",-2.81227096389128,-0.325932441353149,0.0306643853565962
"rmf_b0953_st",7.85167660818359,2.70531010599955,0.000225696552016252
"rnpA_b3704_st",-4.05254174869949,-0.59769237500613,0.00670681534376432
"rplA_b3984_st",-2.75290132664347,-0.312323202960719,0.0331640972247773
"rplC_b3320_st",-3.89267396080269,-0.217932097461389,0.00805181204966287
"rplL_b3986_f_st",-2.54393388311344,-0.509288258183089,0.0438476893109113
"rplM_b3231_st",-5.353890809143,-0.385473234893499,0.00173817148152607
"rpoA_b3295_st",-3.57907534794708,-0.225578797774212,0.0116560663791775
"rpoN_b3202_st",4.30268875882172,0.448290356467657,0.00507783828380315
"rpoS_b2741_st",2.78947837654161,0.803903628233115,0.0315992610620484
"rpsF_b4200_st",-2.61400963972564,-0.310361181106977,0.039905315335847
"rpsI_b3230_st",-5.24154388457768,-0.509605273737106,0.00193550541953658
"rpsJ_b3321_st",-4.48098990452116,-0.278269143132215,0.00418796743397949
"rpsR_b4202_st",-2.6408608561835,-0.651544558465966,0.0384960929087821
"rpsU_b3065_st",-3.36044611728464,-0.602212213277282,0.0152212249337749
"sdhA_b0723_st",-5.37806382546462,-0.486740085584415,0.0016987668849718
"sdhD_b0722_st",-3.26812024390406,-0.850868041679938,0.0170743409208351
"serA_b2913_st",-14.9274224330105,-2.77632786182079,5.68975821583471e-06
"serC_b0907_st",-2.76058232090259,-0.705390053889781,0.0328287224779758
"sodA_b3908_st",-9.45749713066902,-1.50489383141497,7.95367876406849e-05
"speA_b2938_st",-2.64959832636554,-0.446999589745991,0.0380490341024944
"spr_b2175_st",-3.42912434035502,-0.587048921285501,0.0139861985453845
"stpA_b2669_st",-6.57471213202135,-1.78903257454305,0.000593776195291109
"sucB_b0727_st",-2.59273882619069,-0.5399213583784,0.0410605989367196
"sucC_b0728_st",-2.71986968955939,-0.568125015587867,0.034648772660092
"sulA_b0958_st",3.99478685881207,0.566480139727185,0.00716139271855428
"SYNPBR322_bla_c_st",-2.83574260943237,-0.418177671164448,0.0297326634703157
"SYNPBR322_tet_w_st",-3.39435609756002,-0.230872071480427,0.0145970534611403
"tdh_b3616_st",4.64453507688062,1.61224268955069,0.00352374869711631
"tmk_b1098_st",-3.23454460965815,-0.144419614826827,0.0178084907192965
"trmA_b3965_st",-2.89831570656956,-0.39120323462299,0.0273946014736257
"umuC_b1184_st",3.21970971614565,0.381230624512474,0.0181438146649421
"umuD_b1183_st",2.98325853348931,0.302348801304486,0.0245330410244724
"valS_b4258_st",-2.85355915349868,-0.231703426380435,0.0290457816948774
"wbbJ_b2033_st",-2.76816218664733,-0.360793183131237,0.032501326794189
"wcaK_b2045_st",-2.91322715574158,-0.202382473749551,0.0268672151974841
"wza_b2062_st",-3.98608646365735,-0.205084005414687,0.0072328104311519
"xseA_b2509_st",-4.042562774259,-0.299515124382623,0.00678299724887499
"yabC_b0082_st",3.41567663437835,0.285525020631743,0.0142190624694912
"yafK_b0224_st",3.32575996967432,0.3625449016156,0.0158901803263461
"yagB_b0266_st",2.64622370247548,0.368614286600124,0.0382210398278309
"yahG_b0321_st",3.95724915158004,0.270106551289512,0.00747527182919749
"ybaS_b0485_st",2.58866536892115,0.150355517297166,0.0412858680343545
"ybcU_b0557_st",-2.71196489196335,-0.935748404730205,0.0350145212999213
"ybdB_b0597_st",-2.78046720608042,-0.209079902441738,0.0319772756621139
"ybfA_b0699_st",7.45384181047955,0.910996224326057,0.000300582127903307
"ybiU_b0821_st",2.54698634018971,0.28032093606771,0.0436676236227129
"yccA_b0970_st",3.28058672524013,0.731144694634427,0.0168102514133985
"yceB_b1063_st",2.96960285053745,0.484777522356877,0.0249703592345519
"ycgZ_b1164_st",2.80411033515564,0.137110329257405,0.0309956447659897
"ycjJ_b1296_st",2.47041588716513,0.241671927308553,0.0484303943729961
"ydeI_b1536_st",-2.70500877350194,-0.188168743208882,0.0353397924515092
"ydgR_b1634_st",5.05354044925573,2.34757042167145,0.00232547754054427
"ydiC_b1684_st",-3.07670295977908,-0.127103261122272,0.021754591925533
"yecI_b1902_st",2.49411656195433,0.453508811614107,0.0469001409581191
"yecP_b1871_st",-3.14415960651477,-0.41977156370926,0.0199621631878216
"yeeF_b2014_st",-5.04963936541348,-0.879444390473536,0.00233446544355396
"yefJ_b2031_st",-3.55800531048847,-0.514104110090436,0.0119559066312989
"yegD_b2069_st",-3.06048541921938,-0.207501341393113,0.0222111774381007
"yeiR_b2173_st",-2.79872963498762,-0.363267811488914,0.0312161633859686
"yfbT_b2293_st",2.65974371125595,0.494574252298799,0.0375368717191694
"yfdO_b2358_st",-2.62221376780096,-0.330442905905965,0.039469004737173
"yfeC_b2398_st",-3.56132154681355,-0.366737267256642,0.0119081539497199
"yfiA_b2597_st",3.02018455033884,1.20579579312734,0.0233915511124583
"ygfE_b2910_st",2.9270019278292,0.768032756136098,0.0263897699883285
"ygjU_b3089_st",3.21410932958052,0.849941185189511,0.0182721956901448
"yhaR_b3113_st",-2.54796517959059,-0.212363942412376,0.0436100474672384
"yhdG_b3260_st",-6.0155690698852,-0.4748933623915,0.000951504400996691
"yhgF_b3407_st",-3.01497120450093,-0.197374713139343,0.0235491568056327
"yhjE_b3523_st",-3.83299529004168,-1.19219736256065,0.0086289993599176
"yibP_b3613_st",-3.67006518014622,-0.289076760130177,0.0104534346661051
"yidC_b3705_st",-2.49637756972417,-0.519648585916245,0.0467568463558143
"yigF_b3817_st",-2.7193422170622,-0.189583027848951,0.0346730506517879
"yiiT_b3923_st",2.55142729365282,0.477614546936904,0.0434070474057857
"yijP_b3955_st",-2.54834049652615,-0.407357054104713,0.0435879923426483
"yjbA_b4030_st",3.38082637879923,0.670371328306869,0.0148426503175055
"yjbQ_b4056_st",2.58678009199963,0.428773394847773,0.0413905710337414
"yjdB_b4114_st",-3.06622788848847,-0.38585640922712,0.0220483238777028
"yjgW_b4274_st",-2.72939236658099,-0.168965679256861,0.0342135872165626
"yjjK_b4391_st",-2.5807847241634,-0.384011069777799,0.0417254150972727
"yliJ_b0838_st",2.47825505101232,0.59809179594601,0.0479185063960348
"ynfM_b1596_st",2.80274169444654,0.399579662951219,0.0310515768836789
"yojL_b2214_st",-2.54082275621489,-0.103601119748289,0.0440320253184716
"ytfK_b4217_st",7.81549357554911,2.64137844388281,0.000231537137148067
